modelo,epsilon,seed,rep,Accuracy,F1-Score,tecnica
Regresión Logística,0.1,42,0,0.5110397226046607,0.5071634134526306,k=10 + DP
Regresión Logística,0.1,137,1,0.5339350364591301,0.5337237554962649,k=10 + DP
Regresión Logística,0.1,271,2,0.5031869868951099,0.5007889259922608,k=10 + DP
Regresión Logística,0.1,314,3,0.5085921166692162,0.5002822516237377,k=10 + DP
Regresión Logística,0.1,1729,4,0.516648819540054,0.5103644744110206,k=10 + DP
Regresión Logística,1.0,42,0,0.4719800112181939,0.3727006713600642,k=10 + DP
Regresión Logística,1.0,137,1,0.5261842843302228,0.496483591423961,k=10 + DP
Regresión Logística,1.0,271,2,0.5325582581204427,0.3760812778493138,k=10 + DP
Regresión Logística,1.0,314,3,0.4680026515730967,0.3186069531855931,k=10 + DP
Regresión Logística,1.0,1729,4,0.4871755647340778,0.469521424206653,k=10 + DP
Regresión Logística,10.0,42,0,0.4716230686859415,0.3709384623821989,k=10 + DP
Regresión Logística,10.0,137,1,0.5274590790882668,0.497879032202336,k=10 + DP
Regresión Logística,10.0,271,2,0.5340370200397736,0.3725563309960213,k=10 + DP
Regresión Logística,10.0,314,3,0.4678496762021314,0.3156744979098426,k=10 + DP
Regresión Logística,10.0,1729,4,0.4864106878792514,0.4682852194272923,k=10 + DP
Regresión Logística,0.1,2718,5,0.5246545306205701,0.5113233663256486,k=10 + DP
Regresión Logística,0.1,3141,6,0.5306715618785376,0.5185902650736011,k=10 + DP
Regresión Logística,0.1,6022,7,0.5196573351690378,0.5186951587091582,k=10 + DP
Regresión Logística,0.1,8128,8,0.4914588751211055,0.4899939433771058,k=10 + DP
Regresión Logística,0.1,9999,9,0.4853398602824945,0.4413584626466937,k=10 + DP
Regresión Logística,1.0,2718,5,0.5289378410075978,0.4096110257950803,k=10 + DP
Regresión Logística,1.0,3141,6,0.5119575748304523,0.489394868072363,k=10 + DP
Regresión Logística,1.0,6022,7,0.5025750854112487,0.4766786379657383,k=10 + DP
Regresión Logística,1.0,8128,8,0.523175768701239,0.5167237406485108,k=10 + DP
Regresión Logística,1.0,9999,9,0.4669828157666615,0.3005803606670524,k=10 + DP
Regresión Logística,10.0,2718,5,0.5294987507011372,0.4040448527665693,k=10 + DP
Regresión Logística,10.0,3141,6,0.5124165009433481,0.489674411596618,k=10 + DP
Regresión Logística,10.0,6022,7,0.5015042578144918,0.4766743650857505,k=10 + DP
Regresión Logística,10.0,8128,8,0.5239916373463872,0.5177431481155635,k=10 + DP
Regresión Logística,10.0,9999,9,0.4663199224924787,0.2968942861118919,k=10 + DP
Regresión Logística,0.1,10007,10,0.5344959461526694,0.5179591476806668,k=10 + DP
Regresión Logística,0.1,11113,11,0.5200652694916118,0.5200930180030946,k=10 + DP
Regresión Logística,0.1,13121,12,0.5194533680077508,0.5135663200906176,k=10 + DP
Regresión Logística,0.1,17171,13,0.4994135944112998,0.4972477537364027,k=10 + DP
Regresión Logística,0.1,19273,14,0.528478914894702,0.5289576610283961,k=10 + DP
Regresión Logística,1.0,10007,10,0.5328642088623732,0.3751607781621834,k=10 + DP
Regresión Logística,1.0,11113,11,0.473203814185916,0.4471056855062651,k=10 + DP
Regresión Logística,1.0,13121,12,0.5165468359594105,0.4637041866471938,k=10 + DP
Regresión Logística,1.0,17171,13,0.514762123298149,0.5057084975950396,k=10 + DP
Regresión Logística,1.0,19273,14,0.483963081943807,0.483841850794787,k=10 + DP
Regresión Logística,10.0,10007,10,0.5329152006526949,0.3732170526208223,k=10 + DP
Regresión Logística,10.0,11113,11,0.471317117944011,0.4429252081701549,k=10 + DP
Regresión Logística,10.0,13121,12,0.5156289837336189,0.4632337687844342,k=10 + DP
Regresión Logística,10.0,17171,13,0.5155779919432971,0.5063944583041514,k=10 + DP
Regresión Logística,10.0,19273,14,0.4840650655244505,0.4838636313084565,k=10 + DP
Regresión Logística,0.1,23131,15,0.523838661975422,0.5226814952345034,k=10 + DP
Regresión Logística,0.1,29327,16,0.5348018968946,0.508130634278065,k=10 + DP
Regresión Logística,0.1,31193,17,0.5386772729590535,0.5391110416975872,k=10 + DP
Regresión Logística,0.1,33391,18,0.516852786701341,0.5161491381149497,k=10 + DP
