modelo,epsilon,n_reps,mean_acc,std_acc,baseline,delta_pct,p_value,significativo_005,p_bonferroni,significativo_bonf
Regresión Logística,0.1,20,0.5222,0.0118,0.6178,-15.47,1.9073486328125e-06,True,1.9073486328125e-05,True
Regresión Logística,0.5,20,0.567,0.0078,0.6178,-8.23,1.9073486328125e-06,True,1.9073486328125e-05,True
Regresión Logística,1.0,20,0.5947,0.0051,0.6178,-3.74,8.844915021211902e-05,True,0.0008844915021211902,True
Regresión Logística,5.0,20,0.6041,0.0074,0.6178,-2.22,8.844915021211902e-05,True,0.0008844915021211902,True
Regresión Logística,10.0,20,0.6176,0.0019,0.6178,-0.03,0.9702145698889482,False,1.0,False
Naive Bayes (Gaussian),0.1,20,0.5062,0.0224,0.5912,-14.37,1.9073486328125e-06,True,1.9073486328125e-05,True
Naive Bayes (Gaussian),0.5,20,0.5188,0.0102,0.5912,-12.25,1.9073486328125e-06,True,1.9073486328125e-05,True
Naive Bayes (Gaussian),1.0,20,0.5288,0.0156,0.5912,-10.56,1.9073486328125e-06,True,1.9073486328125e-05,True
Naive Bayes (Gaussian),5.0,20,0.5729,0.0115,0.5912,-3.09,1.9073486328125e-06,True,1.9073486328125e-05,True
Naive Bayes (Gaussian),10.0,20,0.5804,0.0123,0.5912,-1.83,0.0004488206370567,True,0.004488206370567,True
