k,l,t,tipo,archivo,Modelo,Accuracy,F1-Score,pct_suprimido,filas_efectivas,columnas_OHE
5,,,k_solo,arx_output_k5.csv,Regresión Logística,0.6188873591351792,0.6168834122067259,1.87,76975,149
5,,,k_solo,arx_output_k5.csv,Random Forest,0.6288307582479221,0.6279941385330703,1.87,76975,149
5,,,k_solo,arx_output_k5.csv,Árbol de Decisión,0.6124623935546377,0.6128897314029882,1.87,76975,149
5,,,k_solo,arx_output_k5.csv,Naive Bayes (Gaussian),0.5568303503135995,0.4496602734398697,1.87,76975,149
5,2.0,,l_div,arx_output_k5_l2.csv,Regresión Logística,0.6186324001835705,0.6166491716047248,1.89,76956,149
5,2.0,,l_div,arx_output_k5_l2.csv,Random Forest,0.6297996022640355,0.628835377693277,1.89,76956,149
5,2.0,,l_div,arx_output_k5_l2.csv,Árbol de Decisión,0.6122584263933507,0.6126883851069005,1.89,76956,149
5,2.0,,l_div,arx_output_k5_l2.csv,Naive Bayes (Gaussian),0.5568813421039213,0.4496917717730578,1.89,76956,149
5,3.0,,l_div,arx_output_k5_l3.csv,Regresión Logística,0.6181224822803528,0.6160923223361758,2.07,76819,149
5,3.0,,l_div,arx_output_k5_l3.csv,Random Forest,0.6306664626995053,0.6303225554177752,2.07,76819,149
5,3.0,,l_div,arx_output_k5_l3.csv,Árbol de Decisión,0.6112895823772373,0.6117280490930336,2.07,76819,149
5,3.0,,l_div,arx_output_k5_l3.csv,Naive Bayes (Gaussian),0.5568813421039213,0.4497554134226933,2.07,76819,149
5,5.0,,l_div,arx_output_k5_l5.csv,Regresión Logística,0.6183774412319617,0.6161970765135445,3.84,75432,149
5,5.0,,l_div,arx_output_k5_l5.csv,Random Forest,0.6285757992963132,0.6279000739397671,3.84,75432,149
5,5.0,,l_div,arx_output_k5_l5.csv,Árbol de Decisión,0.6093009025546887,0.6095339799073566,3.84,75432,149
5,5.0,,l_div,arx_output_k5_l5.csv,Naive Bayes (Gaussian),0.5581561368619652,0.4542561229326697,3.84,75432,149
5,,0.5,t_clos,arx_output_k5_t05.csv,Regresión Logística,0.6166947121513436,0.6145927528634217,4.34,75036,149
5,,0.5,t_clos,arx_output_k5_t05.csv,Random Forest,0.6294936515221049,0.6292473781131124,4.34,75036,149
5,,0.5,t_clos,arx_output_k5_t05.csv,Árbol de Decisión,0.6160318188771607,0.6133055972121014,4.34,75036,149
5,,0.5,t_clos,arx_output_k5_t05.csv,Naive Bayes (Gaussian),0.5559634898781296,0.4584982306194673,4.34,75036,149
5,,0.4,t_clos,arx_output_k5_t04.csv,Regresión Logística,0.6169496711029524,0.6149037049234003,7.71,72395,149
5,,0.4,t_clos,arx_output_k5_t04.csv,Random Forest,0.6262811687318341,0.6263907219196256,7.71,72395,149
5,,0.4,t_clos,arx_output_k5_t04.csv,Árbol de Decisión,0.6133292539901076,0.6101346005759871,7.71,72395,149
5,,0.4,t_clos,arx_output_k5_t04.csv,Naive Bayes (Gaussian),0.5547396869104074,0.4566498887219593,7.71,72395,149
5,,0.35,t_clos,arx_output_k5_t035.csv,Regresión Logística,0.6163887614094131,0.6142851243569937,10.11,70512,149
5,,0.35,t_clos,arx_output_k5_t035.csv,Random Forest,0.627810922441487,0.6267143481037654,10.11,70512,149
5,,0.35,t_clos,arx_output_k5_t035.csv,Árbol de Decisión,0.6134312375707511,0.6115343136999826,10.11,70512,149
5,,0.35,t_clos,arx_output_k5_t035.csv,Naive Bayes (Gaussian),0.5578501861200347,0.4540643916381185,10.11,70512,149
5,,0.3,t_clos,arx_output_k5_t03.csv,Regresión Logística,0.6156748763449085,0.6140413186262854,8.15,72048,146
5,,0.3,t_clos,arx_output_k5_t03.csv,Random Forest,0.6287797664576004,0.6276042288332079,8.15,72048,146
5,,0.3,t_clos,arx_output_k5_t03.csv,Árbol de Decisión,0.5995614706032328,0.5980665634503378,8.15,72048,146
5,,0.3,t_clos,arx_output_k5_t03.csv,Naive Bayes (Gaussian),0.5577482025393912,0.4554799261488354,8.15,72048,146
5,,0.25,t_clos,arx_output_k5_t025.csv,Regresión Logística,0.6086890010708276,0.6091350281806935,8.69,71624,145
5,,0.25,t_clos,arx_output_k5_t025.csv,Random Forest,0.6279638978124522,0.6276157345228136,8.69,71624,145
5,,0.25,t_clos,arx_output_k5_t025.csv,Árbol de Decisión,0.6046096578450869,0.6045805981247646,8.69,71624,145
5,,0.25,t_clos,arx_output_k5_t025.csv,Naive Bayes (Gaussian),0.5582071286522869,0.4561979600367039,8.69,71624,145
5,2.0,0.5,triple_soft,arx_output_k5_l2_t05.csv,Regresión Logística,0.6166947121513436,0.6145927528634217,4.34,75036,149
5,2.0,0.5,triple_soft,arx_output_k5_l2_t05.csv,Random Forest,0.6264341441027994,0.6252206935566418,4.34,75036,149
5,2.0,0.5,triple_soft,arx_output_k5_l2_t05.csv,Árbol de Decisión,0.615980827086839,0.613236107364416,4.34,75036,149
5,2.0,0.5,triple_soft,arx_output_k5_l2_t05.csv,Naive Bayes (Gaussian),0.5559634898781296,0.4584982306194673,4.34,75036,149
5,3.0,0.35,triple_medium,arx_output_k5_l3_t035.csv,Regresión Logística,0.6163887614094131,0.6142851243569937,10.11,70512,149
5,3.0,0.35,triple_medium,arx_output_k5_l3_t035.csv,Random Forest,0.6268420784253735,0.6261631989416826,10.11,70512,149
5,3.0,0.35,triple_medium,arx_output_k5_l3_t035.csv,Árbol de Decisión,0.6134312375707511,0.6115343136999826,10.11,70512,149
5,3.0,0.35,triple_medium,arx_output_k5_l3_t035.csv,Naive Bayes (Gaussian),0.5578501861200347,0.4540643916381185,10.11,70512,149
5,5.0,0.3,triple_hard,arx_output_k5_l5_t03.csv,Regresión Logística,0.6156238845545867,0.6139696431311942,8.16,72042,146
5,5.0,0.3,triple_hard,arx_output_k5_l5_t03.csv,Random Forest,0.6269950537963388,0.6262891510680926,8.16,72042,146
5,5.0,0.3,triple_hard,arx_output_k5_l5_t03.csv,Árbol de Decisión,0.5998674213451635,0.5984134444216459,8.16,72042,146
5,5.0,0.3,triple_hard,arx_output_k5_l5_t03.csv,Naive Bayes (Gaussian),0.5578501861200347,0.4554828763071783,8.16,72042,146
5,5.0,0.25,triple_extreme,arx_output_k5_l5_t025.csv,Regresión Logística,0.6086890010708276,0.6091350281806935,8.69,71624,145
5,5.0,0.25,triple_extreme,arx_output_k5_l5_t025.csv,Random Forest,0.629901585844679,0.6295237516347948,8.69,71624,145
5,5.0,0.25,triple_extreme,arx_output_k5_l5_t025.csv,Árbol de Decisión,0.6046096578450869,0.6045777832333614,8.69,71624,145
5,5.0,0.25,triple_extreme,arx_output_k5_l5_t025.csv,Naive Bayes (Gaussian),0.5582071286522869,0.4561979600367039,8.69,71624,145
